page_id,short_name,full_name
69136,COVER,封面
69137,PROFILE,个人信息页
69138,EMPTY,空白页
69139,SCDS,主观认知衰退量表
69140,SCDS,主观认知衰退量表
39141,MMSE,MMSE
69142,MMSE,MMSE 
69143,MOCA,MOCA
69144,MOCA,MOCA
69145,MOCA,MOCA
69146,MOCA,MOCA
69147,AVLT,AVLT
69148,TMT,TMT
69149,TMT,TMT
69150,TMT,TMT
69151,TMT,TMT
69152,DST,DST
69153,VFT,VFT
69154,VFT,VFT
69155,VFT,VFT
69156,HAMD,HAMD
69157,HAMD,HAMD
69158,HAMD,HAMD
69159,HAMA,HAMA
69160,ADL,ADL
69161,PSQI,PSQI
69162,NPI,NPI
69163,NPI,NPI
69164,CFT,CFT
69165,CFT,CFT
69166,HIS,HIS
69167,GDS,GDS
69168,CFT,CFT
69169,CDR,CDR
69170,CDR,CDR
69171,CDR,CDR
69172,CDR,CDR
69173,CDR,CDR
69174,CDR,CDR
69175,CDR,CDR
69176,CDR,CDR
69177,PSQI,PSQI
69178,CDT,CDT
69179,CFT,CFT
